Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-APR-2014,6729.5,6732.25,6675.45,6721.05,147136671,7174.14
02-APR-2014,6757.6,6763.5,6723.6,6752.55,173335875,8007.75
03-APR-2014,6772.05,6776.75,6696.9,6736.1,197546648,7738.58
04-APR-2014,6741.85,6741.85,6685.15,6694.35,155127592,6676.88
07-APR-2014,6694.25,6725.15,6650.4,6695.05,133947319,6707.01
09-APR-2014,6722,6808.7,6705.1,6796.2,169794626,8892.66
10-APR-2014,6803.05,6819.05,6777.3,6796.4,191125947,9079.6
11-APR-2014,6758.35,6789.35,6743.15,6776.3,140734579,7463.19
15-APR-2014,6792.7,6813.4,6711.75,6733.1,123197822,7100.26
16-APR-2014,6727.25,6748.65,6665.15,6675.3,119768833,6168.64
17-APR-2014,6695.45,6783.05,6684.4,6779.4,131488368,6952.58
21-APR-2014,6789.25,6825.45,6786.9,6817.65,111840313,5711.98
22-APR-2014,6822.9,6838,6806.25,6815.35,114693049,5636.78
23-APR-2014,6823.25,6861.6,6820.75,6840.8,182972972,9247.25
25-APR-2014,6855.8,6869.85,6772.85,6782.75,154320793,8021.33
28-APR-2014,6778.55,6786.25,6750.3,6761.25,118162668,6297.18
29-APR-2014,6769,6779.7,6708.65,6715.25,115511531,5459.34
30-APR-2014,6724.95,6780.15,6656.8,6696.4,161106871,7066.78
02-MAY-2014,6709.95,6737.65,6689.5,6694.8,114275323,5030.42
05-MAY-2014,6681.65,6741.05,6680.45,6699.35,104989653,4881.32
06-MAY-2014,6719.25,6743.45,6701.9,6715.3,88291413,4168.72
07-MAY-2014,6708.6,6718.75,6642.9,6652.55,114099791,6513.29
08-MAY-2014,6669.9,6688.4,6638.55,6659.85,101549745,5413.39
09-MAY-2014,6654.15,6871.35,6652.15,6858.8,166442779,8027.14
12-MAY-2014,6863.4,7020.05,6862.9,7014.25,157725090,8475.17
13-MAY-2014,7080,7172.35,7067.15,7108.75,232221733,10573.11
14-MAY-2014,7112,7142.25,7080.9,7108.75,177204155,9395.8
15-MAY-2014,7111.3,7152.55,7082.55,7123.15,186848485,8947.95
16-MAY-2014,7270.2,7563.5,7130.65,7203,393156741,21057.07
19-MAY-2014,7276.85,7291.1,7193.55,7263.55,316246557,15228.6
20-MAY-2014,7309.95,7353.65,7247.7,7275.5,255333095,11139.51
21-MAY-2014,7274.85,7287.15,7206.7,7252.9,203137825,9544.12
22-MAY-2014,7289.95,7319.55,7258.15,7276.4,240943899,10104.55
23-MAY-2014,7306.5,7381,7293.9,7367.1,259638086,12002.13
26-MAY-2014,7428.75,7504,7269.05,7359.05,273236339,13203.73
27-MAY-2014,7363.1,7372.95,7274.75,7318,168599276,7931.22
28-MAY-2014,7324.95,7344.75,7302.6,7329.65,175595609,8929.71
29-MAY-2014,7316.6,7325.4,7224.4,7235.65,241115398,13385.17
30-MAY-2014,7254.85,7272.5,7118.45,7229.95,312152571,13837.29
02-JUN-2014,7264.05,7368.6,7239.5,7362.5,169891181,7833.43
03-JUN-2014,7375.35,7424.95,7342.15,7415.85,234680218,10354.94
04-JUN-2014,7417.55,7433.3,7391.35,7402.25,204592241,8913.89
05-JUN-2014,7399.75,7484.7,7360.5,7474.1,250660653,11574.51
06-JUN-2014,7521.5,7592.7,7497.65,7583.4,248397596,12322.96
09-JUN-2014,7621.65,7673.7,7580.25,7654.6,231879926,10866.56
10-JUN-2014,7679.05,7683.2,7579.3,7656.4,188669182,9475.21
11-JUN-2014,7672.4,7700.05,7589.05,7626.85,186182446,10472.71
12-JUN-2014,7641.3,7658,7593.8,7649.9,148207144,8187.49
13-JUN-2014,7668.2,7678.5,7525.35,7542.1,174522339,11254.75
16-JUN-2014,7534.8,7548.6,7487.55,7533.55,155377979,8449.27
17-JUN-2014,7525.05,7637.6,7509.25,7631.7,157961787,8704.2
18-JUN-2014,7636.05,7663,7515.5,7558.2,165078941,8963.97
19-JUN-2014,7580.05,7606.45,7502.55,7540.7,148852437,8115.36
20-JUN-2014,7543.3,7560.55,7497.3,7511.45,124132217,6801.49
23-JUN-2014,7514,7534.8,7441.6,7493.35,127404790,6543.64
24-JUN-2014,7515.2,7593.35,7515.2,7580.2,137002483,7146.44
25-JUN-2014,7588.55,7589.25,7557.05,7569.25,114968325,6198.93
26-JUN-2014,7554.1,7570.2,7481.3,7493.2,171676960,9190.64
27-JUN-2014,7514.2,7538.75,7482.3,7508.8,126673395,6688.8
30-JUN-2014,7534.05,7623.65,7531.6,7611.35,152303166,7887.37
01-JUL-2014,7629,7649.5,7618.15,7634.7,139431498,6983.63
02-JUL-2014,7683.05,7732.4,7677.3,7725.15,136324329,7363.75
03-JUL-2014,7734.35,7754.65,7706.8,7714.8,133755275,7320.09
04-JUL-2014,7718.1,7758,7661.3,7751.6,113070488,5863.82
07-JUL-2014,7780.4,7792,7755.1,7787.15,173926355,8925.04
08-JUL-2014,7804.05,7808.85,7595.9,7623.2,180646306,9002.25
09-JUL-2014,7637.95,7650.1,7551.65,7585,168348843,8176.28
10-JUL-2014,7589.5,7731.05,7479.05,7567.75,258385778,11431.68
11-JUL-2014,7584.1,7625.85,7447.2,7459.6,187592951,8983.29
14-JUL-2014,7469,7478.45,7422.15,7454.15,135231220,6659.48
15-JUL-2014,7491.3,7534.9,7459.15,7526.65,122068670,6124.15
16-JUL-2014,7564.15,7640.1,7532.45,7624.4,167973291,8186.24
17-JUL-2014,7612.7,7655.65,7612.7,7640.45,141612002,6753.11
18-JUL-2014,7630.25,7685,7595.5,7663.9,134603073,6903.7
21-JUL-2014,7701.65,7722.1,7674,7684.2,105401279,5794.45
22-JUL-2014,7708.2,7773.85,7704.8,7767.85,120081148,6494.69
23-JUL-2014,7794.9,7809.2,7752.9,7795.75,122119113,7062.52
24-JUL-2014,7796.25,7835.65,7771.65,7830.6,117608370,6271.45
25-JUL-2014,7828.2,7840.95,7748.6,7790.45,153936037,7827.61
28-JUL-2014,7792.9,7799.9,7722.65,7748.7,116534670,6107.78
30-JUL-2014,7746.2,7798.7,7707.6,7791.4,178110084,10175.5
31-JUL-2014,7784.65,7791.85,7711.15,7721.3,208857257,11718.26
01-AUG-2014,7662.5,7716.7,7593.9,7602.6,181070405,9796.7
04-AUG-2014,7639.55,7694.8,7622.05,7683.65,137040004,7495.07
05-AUG-2014,7706.65,7752.45,7638.05,7746.55,128238762,6772.55
06-AUG-2014,7726.15,7740.95,7658.95,7672.05,116361342,6905.9
07-AUG-2014,7651.15,7708.95,7630.4,7649.25,116792296,6030.02
08-AUG-2014,7588.7,7592.45,7540.1,7568.55,118429659,6283.56
11-AUG-2014,7619.85,7635.55,7598.6,7625.95,106972573,5535.13
12-AUG-2014,7688.8,7735.75,7654.8,7727.05,120611660,6181.17
13-AUG-2014,7717.3,7757.1,7695.7,7739.55,154083920,8030.41
